toilet_id,object_id,object_id_1,address,bmc_department,female_facilities,male_facilities,ward_code_source,twitter,latitude,longitude,source,source_file,verification_status,total_facilities,coordinate_valid
052c8cf5-22c1-4db5-9409-6c2b788032e0,1637,1637,"Gaytri Compound,Chawl No.5,Behind Khakur Vidhyamandir School,Thakur Complex,Kandivali(E)",Solid Waste Management,6,6,RS,@mybmcSWM,19.2105556,72.865,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,12,True
2f976e37-a7a1-4d69-b211-86b34a762984,1638,1638,"Vishwanath Sharma Chawl,Ram Nagar,Nr.Jain Temple,M.D.Road,Kandivali (E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.1997222,72.8547222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
41dd18e5-24bd-4848-a2a0-33df58f589c0,1639,1639,"Mishra Chawl,Ram Nagar,Nr.Jain Temple,M.D.Road,Kandivali (E)",Solid Waste Management,1,1,RS,@mybmcSWM,19.1997222,72.8541667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,2,True
b1f14058-ccc9-4dd9-8662-84755d14d778,1640,1640,"Kacharnath Swami Seva Samiti,Nr.Jivdani Mata Temple,Bandongri,Kandivali (E)",Solid Waste Management,3,3,RS,@mybmcSWM,19.1991667,72.8602778,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
e09c07ea-1bb6-4ae8-92a2-f40b8e2f7da1,1641,1641,"Nr.Bonanza Gate No.2,Nr.Western Express Highway,Bandongri,Kandivali (E)",Solid Waste Management,12,4,RS,@mybmcSWM,19.1975,72.8597222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True
733521f8-24fc-4134-b3c0-0a54606ac000,1642,1642,"Nr.Bonanza Gate No.2,Nr.Western Express Highway,Bandongri,Kandivali (E)",Solid Waste Management,5,5,RS,@mybmcSWM,19.1975,72.8597222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,10,True
12f3e2ec-3378-41b6-b257-36c6d0debe03,1643,1643,"Nr.Bandongri Shivsena Shakha,Nr.Masjid,Kandivali (E)",Solid Waste Management,7,7,RS,@mybmcSWM,19.1958333,72.86,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
a0237b64-3a93-4929-9e42-ea66abbbecb9,1644,1644,"Malkani Estate, Near Noor Masjid, Bandongri, Kandivili (E)",Solid Waste Management,4,4,RS,@mybmcSWM,19.1938889,72.8591667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,8,True
dffbb78b-cfc5-46bf-bacb-3ab9f804e847,1645,1645,"Bonanda Gate No.1,Nr.Police Chouwki Beat No.2,Bandongri,Kandivali (E)",Solid Waste Management,8,8,RS,@mybmcSWM,19.1952778,72.8586111,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,16,True
e9b1af4a-a737-49c2-8d2f-a0cb65f582e2,1646,1646,"Ganesh Nagar,Keshav Chawl,Attar Garage,Back Side Highway,Servicerd.Kandivali(E)",Solid Waste Management,3,3,RS,@mybmcSWM,19.2008333,72.8616667,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,6,True
13c87e8c-8166-4850-b68f-b47e9c5b535c,1647,1647,"Sai Leela Chawl,Beside Shivsena Shakha No.3,Akurli Road,Opp.Sambhaji Nagar,Kandivali (E)",Solid Waste Management,10,8,RS,@mybmcSWM,19.2002778,72.8630556,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,18,True
248dbfa6-02cb-4b7a-9c85-4b93d6224250,1648,1648,"Swarajya Chawl,Committee.Shri Ram Nagar,Dhobi Ghat,Malad(E)",Solid Waste Management,6,8,RS,@mybmcSWM,19.1925,72.8647222,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
759228f5-9f27-4f5c-be24-dfeedde4f9eb,1649,1649,"Azad Nagar,Welfare,Pay & Use Seva Shauchalay,Wadarapada No.1,Kandivali(E)",Solid Waste Management,7,7,RS,@mybmcSWM,19.1947222,72.865,BMC/MCGM via OpenCity,mumbai_public_toilets.kml,SOURCE_KML,14,True
