openaq_location_id,station_name,urban_ward_code,provider,parameter,parameter_display,unit,value,datetime_from,datetime_to,source
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,0.5,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,49.14,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,7.08,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,28.01,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,27.59,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,0.01716,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,109.3,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,640.0,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,12.58,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,37.15,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,72.0,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,38.05,,,OpenAQ
6945,"Kurla, Mumbai - MPCB",L,CPCB,,,,67.0,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,25.77,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,0.45,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,0.0,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,8.66,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,2.62,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,3.48,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,11.09,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,5.06,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,0.0,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,0.01,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,0.0044800000000000005,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,0.0,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,3340.0,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,3.99,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,2.0,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,101.09,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,1.96,,,OpenAQ
11611,"Malad West, Mumbai - IITM",PN,CPCB,,,,18.84,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,18.37,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,3.16,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,55.92,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,0.31,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,14.1,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,0.1,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,23.23,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,1.84,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,22.37,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,265.66,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,2.53,,,OpenAQ
3409479,"Mindspace-Malad West, Mumbai - MPCB",PN,CPCB,,,,0.01001,,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,,,,29.4,,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,,,,61.62,,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,,,,0.19,,,OpenAQ
12040,"Mulund West, Mumbai - MPCB",T,CPCB,,,,45.59,,,OpenAQ
