green_space_id,green_space_name,address,bmc_department,ward_code_source,twitter_handle,website,latitude,longitude,source_file,source,coordinate_valid
1956,Abdulla Brelvi Garden,,,,,,18.985978,72.832438,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1957,Shahid Nete Bhai Sangare Udyan,,,,,,18.980976,72.82731,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1958,"Sant Gadge Maharaj Udyan,",,,,,,18.980986,72.82689,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1959,"Dayan Baug Khandia Street Udyan,",,,,,,18.963173,72.829586,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1960,"Police Inspector Shahid Shashank Shinde Udyan,",,,,,,18.969545,72.842699,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1961,"Mohammad Hussein Maidan,",,,,,,18.9721213,72.824776,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1962,"Abdul Rehman Soofi Maidan. (Zullha Maidan),",,,,,,18.974416,72.827158,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1963,"R.G. plot at National Textile Mill No. 2 & 3,",,,,,,18.986772,72.839479,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1964,"R.G. plot at Ghass gully,",,,,,,18.978142,72.823823,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1965,Garlic compound,,,,,,18.9795693,72.8282101,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
1966,R.G. Plot at Laxmi building,,,,,,18.979211,72.83161,mumbai_green_spaces.kml,"BMC / OpenCity Mumbai Public Gardens, Parks and Zoos dataset",True
