facility_id,name,service_type,address,ward_code,longitude,latitude,source,source_file,source_id,verification_status,geometry
HC_00317,Dhanukarwadi UPHC,uphc,"M.G Road BMC School kandivali Village, Ground Flr, M.G Road Kandivali (W)",RS,72.83,19.21,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,70,source_verified,POINT Z (72.83 19.21 0)
HC_00318,Charkop Sec 1 UPHC,uphc,"Chakop sector 1 Disp Near BMC School, Behind tulsi vihar hotel, charkop Kandiwali (W)",RS,72.83,19.21,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,71,source_verified,POINT Z (72.83 19.21 0)
HC_00319,Damu Pada UPHC,uphc,"Hanuman Nagar Disp, Samta Nagar, Near Telephone Exchange, Kandivali-East",RS,72.88,19.21,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,72,source_verified,POINT Z (72.88 19.21 0)
HC_00320,Babrekar Nagar UPHC,uphc,"Babrekar Disp, Hindustan Naka Charkop Indl. Estate. Kandivali, Mumbai-67",RS,72.83,19.2,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,73,source_verified,POINT Z (72.83 19.2 0)
HC_00321,Akurli Road MH UPHC,uphc,"Akurli Mun. Mat. Home, Akurli Road, Near ESIS Hospital, Kandivali (East), Mumbai – 101",RS,72.85,19.2,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,74,source_verified,POINT Z (72.85 19.2 0)
HC_00322,Kajupada UPHC,uphc,"Kajupada welfare Center , Savarpada, Near shani Mandir, Opp Chogle nagar, Borivali - (E)",RC,72.87,19.23,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,75,source_verified,POINT Z (72.87 19.23 0)
HC_00323,Maharastra Housing Board Colony UPHC,uphc,"M.H.B Muncipal Disp Nr. Datta Mandir, Datta mandir old M.H.B, Gorai Road Borivali (W)",RC,72.84,19.23,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,76,source_verified,POINT Z (72.84 19.23 0)
HC_00324,Charkop MH UPHC,uphc,"Charkop Sec 5 Disp Plot No. 511, Sector-5, Aadishvuar Jain Mandir marg, Charkop, Behind Apna Bazar, Kandivali-West, Mumbai-400067",RC,72.83,19.22,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,77,source_verified,POINT Z (72.83 19.22 0)
HC_00325,Gorai MHADA UPHC,uphc,"Gorai Mhada HP Nr. Swami Vivekanand School, Near Suvidya School, Gorai- 1",RC,72.83,19.23,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,78,source_verified,POINT Z (72.83 19.23 0)
HC_00326,Smt.Kesarbai Chhabildas Lallubhai Bhansali Maternity Home MH UPHC,uphc,"K.C.L Bhonsali Mun Mat Home S.V Road opp Jaya Talkies, Opp Anupam Super Store, Nr. Borivali Station",RC,72.86,19.23,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,79,source_verified,POINT Z (72.86 19.23 0)
HC_00327,Mother & Child Hosp.UPHC,uphc,"Mata Bal Rugnalay, Near Dhiraj upavan shiddharth nagar Magathane, Near Magathane Bus Depot, Borivali (E)",RC,72.87,19.22,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,80,source_verified,POINT Z (72.87 19.22 0)
HC_00328,Anand Nagar UPHC,uphc,"BMC 1st floor opp manan Building Near sanghi Hotel Anand Nagar, Opp Shakti nagar, Dahisar € 400068",RN,72.86,19.26,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,81,source_verified,POINT Z (72.86 19.26 0)
HC_00329,Shastri Nagar UPHC,uphc,"L.T Road Disp 1 St floor L.T Road, Near to Naghik Stores Dahisar Station Dahisar (W) 400068",RN,72.8733,19.2565,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,82,source_verified,POINT Z (72.8733 19.2565 0)
HC_00330,Navagaon UPHC,uphc,"SHASTRINAGAR DISP, NEAR MHARASHTRA HOTE, HOLY CROSS ROAD, DAHISAR (WEST)",RN,72.85,19.25,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,83,source_verified,POINT Z (72.85 19.25 0)
HC_00331,Pramila Nagar UPHC,uphc,"PRAMILA NAGAR, MHADA COLONY, GROUND FLOOR,KANDARPADA,DAHISAR(WEST)",RN,72.8737,19.2605,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,84,source_verified,POINT Z (72.8737 19.2605 0)
HC_00332,Yashwant Rao Tawade Marg UPHC,uphc,"Y R Tawade disp, Harishankar Joshi Marg, Near Dhawale Hospital Near Police chowky Dahisar (E) 400068",RN,72.86,19.25,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,85,source_verified,POINT Z (72.86 19.25 0)
HC_00333,New Tunga Village UPHC,uphc,"Tulip Building, off Saki vihar road, Sakinaka, Kurla West Mumbai-70",L,72.8922,19.1188,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,86,source_verified,POINT Z (72.8922 19.1188 0)
HC_00334,Nahar Amrut Shakti UPHC,uphc,"Ground floor ,Municipal Market building , Near Dmart ,Nahar Amrut Shakti ,Chandivali Mumbai -76",L,72.88,19.07,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,87,source_verified,POINT Z (72.88 19.07 0)
HC_00335,Bibi Fatima UPHC,uphc,"BB Fatima Disp, near Imperial cycle stop, L B S Road , Kurla (W)",L,72.92,19.1192,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,88,source_verified,POINT Z (72.92 19.1192 0)
HC_00336,Himalaya UPHC,uphc,"Shabri Apt. Himalay housing socirty , Nari Seva Sadan road, Ghatkopar West, Mumbai -72",L,72.89,19.09,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,89,source_verified,POINT Z (72.89 19.09 0)
HC_00337,Dr.Anandibai Joshi Maternity Home UPHC,uphc,"Bail Bazar , Kurla Andheri Road , Kurla West Mumbai -70",L,72.88,19.08,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,90,source_verified,POINT Z (72.88 19.08 0)
HC_00338,Asalfa Village UPHC,uphc,"Asalfa Pipe Line Subhash Nagar,Ghatkopar Andheri Link road ,Ghatkopar West Mumbai- 72",L,72.9,19.1,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,91,source_verified,POINT Z (72.9 19.1 0)
HC_00339,Mohili Village UPHC,uphc,"Veer Savarkar Nagar , Ghatkopar Andheri Link Road , Ghatkopar West Mumbai- 72",L,72.89,19.1,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,92,source_verified,POINT Z (72.89 19.1 0)
HC_00340,Kajupada UPHC,uphc,"Kajupada , NearGanesh Maidan, Kajupada Pipeline Kurla West - Mumbai -70",L,72.89,19.09,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,93,source_verified,POINT Z (72.89 19.09 0)
HC_00341,Maasaheb Meenatai Thackeray MH UPHC,uphc,"V.N. Purav Marg, off Sion- Trombay Road, Chunabhatti- Mumbai -22",L,72.8846,19.1315,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,94,source_verified,POINT Z (72.8846 19.1315 0)
HC_00342,Buddha Colony UPHC,uphc,"Al Sham Bulding ,New Hall Road ,near Kartika High School ,Kurla (W )Mumbai -70",L,72.88,19.08,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,95,source_verified,POINT Z (72.88 19.08 0)
HC_00343,Sangharsha Nagar UPHC,uphc,"Next to Palacial Heights, near Ciba Company ,Sangharsh Nagar, Chandivali Mumbai -76",L,72.9026,19.1083,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,96,source_verified,POINT Z (72.9026 19.1083 0)
HC_00344,Kamgar Nagar UPHC,uphc,"Qureshi Nagar, Kasaiwada,Kurla(E)",L,72.88,19.06,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,97,source_verified,POINT Z (72.88 19.06 0)
HC_00345,Nehru Nagar UPHC,uphc,"Nehru Nagar Mun. Disp., Near Arey Dairy, Nehru Nagar, Kurla (E)",L,72.89,19.06,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,98,source_verified,POINT Z (72.89 19.06 0)
HC_00346,Vashinaka UPHC,uphc,"R-1- R2 Aman Building,Near Datta Mandir, L.U Gadkari Marg, Vashinaka, Mumbai-74",ME,72.89,19.09,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,99,source_verified,POINT Z (72.89 19.09 0)
HC_00347,New Bainganwadi UPHC,uphc,"Near Urdu BMC school 5 , Next ambekar maidhan, Govandi west , Mumbai-43",ME,72.9235,19.0589,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,100,source_verified,POINT Z (72.9235 19.0589 0)
HC_00348,Maharashtra Nagar UPHC,uphc,"Building No 18 &19, Shivshahi Punarvsan Prakalp, Maharashtra Nagar, Mumbai-43",ME,72.94,19.05,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,101,source_verified,POINT Z (72.94 19.05 0)
HC_00349,Lokshahir Annabhau Sathe Nagar UPHC,uphc,"Lallubhai Compound , R-4 Building , MMDRA,Behind Shivan high school, Deonar, Mumbai-43",ME,72.93,19.05,Mumbai OpenCity / BMC,Mumbai City UPHCs Map.kml,102,source_verified,POINT Z (72.93 19.05 0)
