station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange,latitude,longitude,geocode_status,geocode_display_name
MM-055,Mankhurd,मानखुर्द,Line 2B; Line 8,Elevated,Side and island,Operational,Transfer station to Mankhurd railway station,Metro,,Transfer station to Mankhurd railway station,19.0482086,72.9317136,MATCHED,"Mankhurd, Mankhurd Station Road, Mankhurd Village, Mankhurd, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400088, India"
MM-056,Marol Naka,मरोळ नाका,Line 1; Line 3,Elevated; underground,Side and island,Operational,,Metro,,,19.1081008,72.87963,MATCHED,"Marol Naka, Marol Naka Metro Stn, Chimatpada, Saki Naka, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400072, India"
MM-057,MIDC - Andheri,एम.आय.डी.सी. - अंधेरी,Line 3,Underground,Island,Operational,,Metro,,,19.1172867,72.8742053,MATCHED,"MIDC - Andheri, Road Number 7, Kondivita Village, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400096, India"
MM-058,Miragaon,मिरागाव,Line 9,Elevated,Side,Operational,"Interchange with Line 10 ""Green Line (Mumbai Metro)"") on Shivaji Chowk (Mira Road)_metro_station ""Shivaji Chowk (Mira Road) metro station"")",Metro,,"Interchange with Line 10 ""Green Line (Mumbai Metro)"") on Shivaji Chowk (Mira Road)_metro_station ""Shivaji Chowk (Mira Road) metro station"")",,,NOT_FOUND,
MM-059,Mogra,मोगरा,Line 7,Elevated,Side,Operational,,Metro,,,19.1284481,72.8554647,MATCHED,"Mogra, Western Express Highway, Aghadi Nagar, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400029, India"
MM-060,Oshiwara,ओशिवरा,Line 2A,Elevated,Side,Operational,,Metro,,,19.1502437,72.8342294,MATCHED,"Oshiwara, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400102, India"
MM-061,Ovaripada,ओवरीपाडा,Line 7,Elevated,Side,Operational,,Metro,,,19.2429398,72.8641964,MATCHED,"Ovaripada, Western Express Highway, Ovaripada, Dahisar East, R/N Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400068, India"
MM-062,Pandurang Wadi,पांडुरंग वाडी,Line 9,Elevated,Side,Operational,,Metro,,,19.2600826,72.8726532,MATCHED,"Pandurang Wadi, Western Express Highway, Ketkipada, Dahisar East, R/N Ward, Mumbai Zone 4, Mira-Bhayander, Thane Subdistrict, Mumbai Suburban District, Maharashtra, 401104, India"
MM-063,Poisar,पोईसर,Line 7,Elevated,Side,Operational,,Metro,,,19.2037581,72.8633393,MATCHED,"Mahindra & Mahindra, Western Express Highway, Kandivali East, R/S Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400101, India"
MM-064,Rashtriya Udyan,राष्ट्रीय उद्यान,Line 7,Elevated,Side,Operational,,Metro,,,19.2346141,72.8631372,MATCHED,"Rashtriya Udyan, Western Express Highway, Devipada, Borivali East, R/C Ward, Mumbai Zone 4, Mumbai Suburban District, Maharashtra, 400066, India"
