transport_id,object_id,transport_name,transport_type,best_bus_stop_name,bus_depot_name,address,ward_code_source,best_app,best_help,twitter_handle,website,latitude,longitude,style_url,source_file,source,coordinate_valid,gis_ward,validation_status
STOP_3883,3883,ANDHERI STATION (W),BUS_STOP,ANDHERI STATION (W),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.118906,72.845223,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,KW,GIS_MATCH
STOP_3884,3884,BANDRA RAILWAY TERMINUS,BUS_STOP,BANDRA RAILWAY TERMINUS,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.062513,72.841709,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,HE,GIS_MATCH
STOP_3885,3885,SIDDHIVINAYAK MANDIR (PRABHADEVI),BUS_STOP,SIDDHIVINAYAK MANDIR (PRABHADEVI),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.019241,72.831814,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,GN,GIS_MATCH
STOP_3886,3886,LAXMANRAO YADAV MARKET (KURLA MARKET),BUS_STOP,LAXMANRAO YADAV MARKET (KURLA MARKET),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.070239,72.879234,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,L,GIS_MATCH
STOP_3887,3887,NANA-NANI PARK (VERSOVA),BUS_STOP,NANA-NANI PARK (VERSOVA),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.127217,72.819032,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,KW,GIS_MATCH
STOP_3888,3888,DATTA WADI,BUS_STOP,DATTA WADI,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.20047,72.998632,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,,UNMATCHED
STOP_3889,3889,"KHAR, LINKING ROAD",BUS_STOP,"KHAR, LINKING ROAD",,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.071009,72.83394,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,HW,GIS_MATCH
STOP_3890,3890,"MUKUND COMPANY, P.W.D.OFFICE (KAMANI)",BUS_STOP,"MUKUND COMPANY, P.W.D.OFFICE (KAMANI)",,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.084734,72.88891,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,L,GIS_MATCH
STOP_3891,3891,CHAKALA MARKET,BUS_STOP,CHAKALA MARKET,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,18.9494,72.834706,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,B,GIS_MATCH
STOP_3892,3892,MAGATHANE TELEPHONE EXCHANGE,BUS_STOP,MAGATHANE TELEPHONE EXCHANGE,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.216116,72.867476,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RC,GIS_MATCH
STOP_3893,3893,SHANTARAM TALAO (MALAD-E),BUS_STOP,SHANTARAM TALAO (MALAD-E),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.185678,72.859215,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,PN,GIS_MATCH
STOP_3894,3894,VAISHALI BHAVAN (KANDIVALI-W),BUS_STOP,VAISHALI BHAVAN (KANDIVALI-W),,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.204924,72.839401,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RS,GIS_MATCH
STOP_3895,3895,RASHMI RATHI SOCIETY,BUS_STOP,RASHMI RATHI SOCIETY,,,,"Android - https://bit.ly/3clkZsf, iOS - https://tinyurl.com/4ebk4r6k",1800227550,@myBESTBus,www.bestundertaking.com,19.215284,72.83577,#mumbai_best_stops_style,mumbai_best_stops_depots.kml,BMC / OpenCity Mumbai BEST Stops and Depots dataset,True,RS,GIS_MATCH
