pseudocode,lgd_ward_name,bmc_ward_code,pincode
2201741,L - Ward No. 156,L,400072
1346120,A - Ward No. 225,A,400001
8895956,S - Ward No. 114,S,400078
4056320,C - Ward No. 222,C,400002
5494437,P/South - Ward No. 54,PS,400063
2176293,H/West - Ward No. 102,HW,400050
7462321,S - Ward No. 120,S,400079
6100135,S - Ward No. 119,S,400083
5572683,H/West - Ward No. 101,HW,400050
2178034,P/North - Ward No. 43,PN,400097
7460595,R/South - Ward No. 29,RS,400101
9975056,P/North - Ward No. 49,PN,400095
9638556,M/East - Ward No. 139,ME,400089
7591123,H/West - Ward No. 102,HW,400050
9655648,D - Ward No. 216,D,400008
9073452,D - Ward No. 219,D,400006
3853373,R/South - Ward No. 25,RS,400101
8512495,D - Ward No. 216,D,400008
1916086,K/East - Ward No. 72,KE,400060
1589117,M/East - Ward No. 136,ME,400043
6042327,H/East - Ward No. 92,HE,400051
5523516,M/East - Ward No. 138,ME,400043
1263824,K/West - Ward No. 62,KW,400061
3010693,H/West - Ward No. 99,HW,400052
4401435,K/West - Ward No. 67,KW,400058
5990930,P/South - Ward No. 52,PS,400063
8687506,F/North - Ward No. 177,FN,400019
4806440,H/East - Ward No. 92,HE,400009
2479489,P/South - Ward No. 57,PS,400102
6789140,P/North - Ward No. 37,PN,400097
4129170,F/North - Ward No. 172,FN,400022
6193670,F/South - Ward No. 202,FS,400014
9858451,K/West - Ward No. 70,KW,400058
2740486,S - Ward No. 120,S,400083
8112205,M/West - Ward No. 152,MW,400071
4159300,R/South - Ward No. 26,RS,400101
9172179,S - Ward No. 122,S,400076
6989939,M/East - Ward No. 136,ME,400043
1676857,H/West - Ward No. 101,HW,400050
1850421,S - Ward No. 118,S,400083
3922423,N - Ward No. 131,N,400075
6887269,P/South - Ward No. 50,PS,400064
3722598,R/Central - Ward No. 16,RC,400091
6977125,P/North - Ward No. 33,PN,400095
1443315,K/East - Ward No. 78,KE,400060
7388367,R/North - Ward No. 4,RN,400068
6529656,P/South - Ward No. 54,PS,400101
1927981,R/North - Ward No. 6,RN,400068
8217019,K/West - Ward No. 61,KW,400102
9818627,D - Ward No. 218,D,400004
1229423,P/South - Ward No. 54,PS,400063
3460074,S - Ward No. 112,S,400078
3350090,N - Ward No. 124,N,400086
1583446,N - Ward No. 132,N,400077
4098885,S - Ward No. 122,S,400076
6153138,H/West - Ward No. 101,HW,400050
2106628,F/North - Ward No. 177,FN,400019
2606914,R/Central - Ward No. 15,RC,400092
2482599,M/East - Ward No. 142,ME,400074
1770346,R/North - Ward No. 8,RN,400043
3057591,S - Ward No. 118,S,400083
9772203,D - Ward No. 216,D,400008
2125038,T - Ward No. 103,T,400080
8047546,A - Ward No. 225,A,400020
9837348,R/South - Ward No. 19,RS,400067
9016906,E - Ward No. 210,E,400010
9394125,P/North - Ward No. 46,PN,400064
7838325,S - Ward No. 110,S,400078
8700444,P/North - Ward No. 36,PN,400097
4810202,M/East - Ward No. 142,ME,400043
3709666,A - Ward No. 227,A,400005
9444111,R/South - Ward No. 29,RS,400101
3064354,G/North - Ward No. 191,GN,400016
1301309,M/East - Ward No. 138,ME,400043
9183590,L - Ward No. 170,L,400070
7824385,G/South - Ward No. 195,GS,400013
2486616,L - Ward No. 170,L,400022
5150527,R/South - Ward No. 21,RS,400067
6431932,R/North MCGM - Ward No.2,RN,400068
6286312,N - Ward No. 130,N,400086
6847986,K/West - Ward No. 66,KW,400058
6678576,P/South - Ward No. 51,PS,400097
6143934,S - Ward No. 115,S,400078
7518995,N - Ward No. 131,N,400077
4698011,R/South - Ward No. 23,RS,400101
3915937,D - Ward No. 215,D,400007
8182865,P/North - Ward No. 33,PN,400095
7805316,A - Ward No. 225,A,400005
9857607,F/South - Ward No. 204,FS,400012
2421477,G/North - Ward No. 191,GN,400016
1522422,B - Ward No. 223,B,400009
7570738,F/North - Ward No. 177,FN,400019
4479863,F/South - Ward No. 206,FS,400015
9241029,G/North - Ward No. 191,GN,400028
6752063,H/East - Ward No. 92,HE,400051
2001972,H/West - Ward No. 101,HW,400050
3615013,K/West - Ward No. 69,KW,400056
2866825,K/West - Ward No. 66,KW,400058
8899126,R/South - Ward No. 26,RS,400101
1324530,M/East - Ward No. 135,ME,400043
4677383,N - Ward No. 130,N,400086
8382644,P/North - Ward No. 49,PN,400061
4736121,P/North - Ward No. 43,PN,400095
9973697,T - Ward No. 103,T,400080
7188039,G/North - Ward No. 186,GN,400004
6248402,L - Ward No. 160,L,400072
3157889,T - Ward No. 106,T,400081
6262062,T - Ward No. 107,T,400080
9251614,P/North - Ward No. 33,PN,400095
6584433,T - Ward No. 107,T,400080
5708406,N - Ward No. 124,N,400078
1834114,R/Central - Ward No. 18,RC,400067
7831254,L - Ward No. 158,L,400072
3750565,E - Ward No. 211,E,400008
3856068,R/South - Ward No. 30,RS,400067
9194497,G/North - Ward No. 191,GN,400016
2454071,M/West - Ward No. 152,MW,400071
8682977,K/East - Ward No. 84,KE,400057
5255745,K/West - Ward No. 66,KW,400058
3875818,D - Ward No. 215,D,400007
4986357,S - Ward No. 122,S,400076
4743597,R/Central - Ward No. 9,RC,400091
6892278,E - Ward No. 211,E,400008
7519035,P/North - Ward No. 45,PN,400095
8664806,K/East - Ward No. 78,KE,400060
8166539,F/North - Ward No. 172,FN,400022
5234727,S - Ward No. 116,S,400078
3999596,D - Ward No. 219,D,400006
7625076,E - Ward No. 210,E,400027
7785674,K/East - Ward No. 83,KE,400099
2631058,R/North - Ward No. 4,RN,400068
4160364,C - Ward No. 222,C,400002
5017356,K/East - Ward No. 85,KE,400057
4395480,D - Ward No. 218,D,400004
1671484,F/North - Ward No. 180,FN,400017
6130490,S - Ward No. 121,S,400087
5519187,R/South - Ward No. 28,RS,400101
9026019,M/East - Ward No. 140,ME,400043
9651497,P/North - Ward No. 35,PN,400064
9558040,R/South - Ward No. 29,RS,400101
6378359,H/West - Ward No. 98,HW,400052
9093274,K/West - Ward No. 70,KW,400056
4879125,S - Ward No. 111,S,400078
3513525,P/North - Ward No. 37,PN,400097
7016371,M/West - Ward No. 149,MW,400089
5093495,M/East - Ward No. 134,ME,400088
8826322,G/North - Ward No. 187,GN,400017
7115834,C - Ward No. 222,C,400004
3267707,H/West - Ward No. 100,HW,400081
7837786,L - Ward No. 160,L,400084
3309058,D - Ward No. 214,D,400026
3884314,L - Ward No. 169,L,400024
1096492,R/North - Ward No. 8,RN,400103
8759283,M/East - Ward No. 141,ME,400088
9839887,M/East - Ward No. 138,ME,400043
1046524,L - Ward No. 161,L,400072
8105976,M/West - Ward No. 149,MW,400089
8785848,H/East - Ward No. 95,HE,400051
9040059,P/South - Ward No. 51,PS,400061
1113512,S - Ward No. 109,S,400082
7569233,A - Ward No. 225,A,400020
5319265,D - Ward No. 216,D,400004
2315021,R/South - Ward No. 22,RS,400067
7135911,F/North - Ward No. 172,FN,400022
2662840,R/South - Ward No. 20,RS,400067
9766666,S - Ward No. 118,S,400083
5133716,M/East - Ward No. 147,ME,400088
4420234,A - Ward No. 225,A,400001
7584229,S - Ward No. 111,S,400042
1664751,K/East - Ward No. 74,KE,400093
5145835,L - Ward No. 171,L,400070
6664354,A - Ward No. 226,A,400001
6946033,E - Ward No. 211,E,400008
9435876,P/North - Ward No. 33,PN,400095
4598680,G/North - Ward No. 183,GN,400017
9214445,N - Ward No. 130,N,400086
6934609,K/West - Ward No. 70,KW,400049
4227361,A - Ward No. 226,A,400001
9511002,R/South - Ward No. 19,RS,400067
2026030,P/North - Ward No. 41,PN,400095
7898317,P/North - Ward No. 37,PN,400097
8778286,P/North - Ward No. 33,PN,400095
7174128,P/North - Ward No. 34,PN,400095
5495771,S - Ward No. 120,S,400078
6845229,M/East - Ward No. 138,ME,400043
2661394,P/North - Ward No. 46,PN,400064
1303161,F/North - Ward No. 177,FN,400031
5576747,H/West - Ward No. 102,HW,400050
8004106,P/North - Ward No. 36,PN,400097
3926217,P/North - Ward No. 38,PN,400097
8190299,S - Ward No. 115,S,400078
2457080,M/East - Ward No. 144,ME,400088
1184131,N - Ward No. 124,N,400079
2859528,P/North - Ward No. 41,PN,400065
5315361,F/North - Ward No. 172,FN,400037
1113689,A - Ward No. 225,A,400001
1839595,G/South - Ward No. 193,GS,400030
9352567,S - Ward No. 119,S,400083
1440759,D - Ward No. 218,D,400004
9756804,H/West - Ward No. 97,HW,400054
6138822,L - Ward No. 166,L,400070
7247807,K/West - Ward No. 67,KW,400058
2935625,N - Ward No. 123,N,400079
9921132,F/North - Ward No. 180,FN,400037
7188401,R/Central - Ward No. 14,RC,400066
1316576,G/South - Ward No. 198,GS,400011
3189330,T - Ward No. 108,T,400078
3453374,R/North - Ward No. 8,RN,400103
8449620,K/East - Ward No. 81,KE,400093
3421138,F/North - Ward No. 176,FN,400037
2315017,D - Ward No. 217,D,400007
3741365,N - Ward No. 132,N,400077
9268093,L - Ward No. 156,L,400059
3987748,S - Ward No. 122,S,400076
5132025,L - Ward No. 167,L,400070
