station_id,latitude,longitude,geocode_status,geocode_display_name
MM-129,19.1321315,72.9272826,MATCHED,"Dockyard kanjurmarg St, Lal Bahadur Shastri Marg, Kanjur West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400042, India"
MM-130,,,NOT_FOUND,
MM-131,,,NOT_FOUND,
MM-132,,,NOT_FOUND,
MM-133,,,NOT_FOUND,
MM-134,19.0883124,72.8369382,MATCHED,"Khira Nagar, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-135,,,NOT_FOUND,
MM-136,,,NOT_FOUND,
MM-137,19.0652797,72.8793805,MATCHED,"Kurla, Kurla FOB 4, Naware Baug Jagruti Nagar, Kurla East, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
MM-138,19.0628944,72.8825604,MATCHED,"Kurla East, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
MM-139,19.0908037,72.9167981,MATCHED,"Laxmi Nagar, Ghatkopar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India"
MM-140,19.0694658,72.8919779,MATCHED,"Lokmanya Tilak Terminus, Lokmanya Tilak Terminus Road, Vidya Vihar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
MM-141,19.1171929,72.9142035,MATCHED,"Loop Road, Hiranandani Gardens, Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
MM-142,19.1306093,72.8738165,MATCHED,"Mahakali Caves, Mahakali Caves Road, Takshila Colony, MIDC, K/E Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400096, India"
MM-143,18.9429649,72.8314839,MATCHED,"St.Xavier's College, 5, Mahapalika Marg, Dhobi Talao, Corporation Street, Bori Bunder, Fort, A Ward, Mumbai Zone 1, Mumbai, Mumbai City District, Maharashtra, 400001, India"
MM-144,,,NOT_FOUND,
MM-145,,,NOT_FOUND,
MM-146,19.2356062,72.9583946,MATCHED,"Manpada Waterfall मानपाडा वॉटरफॉल, Thane-Borivali Twin Tunnel, Yeoor, Mumbai Zone 4, Thane, Thane Subdistrict, Thane, Maharashtra, 200014, India"
MM-147,,,NOT_FOUND,
MM-148,18.9333205,72.8308465,MATCHED,"MTNL, Mahatma Gandhi Road, Kala Ghoda, Fort, A Ward, Mumbai Zone 1, Mumbai, Mumbai City District, Maharashtra, 400001, India"
MM-149,19.1757013,72.9425157,MATCHED,"Mulund Fire Station, Lal Bahadur Shastri Marg, Veer Sambhaji Nagar, Mulund Colony, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400082, India"
MM-150,19.1836341,72.9545197,MATCHED,"Mulund Octroi Naka, Mulund West, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-151,18.966683,72.8287414,MATCHED,"Nagpada Junction, Maulana Azad Road (Duncan Road), Kamathipura, Nagpada, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India"
MM-152,19.1002773,72.8395808,MATCHED,"Nanavati Hospital, Swami Vivekanand Road, JEEVAN SHANTI COLONY, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400057, India"
MM-153,,,NOT_FOUND,
MM-154,,,NOT_FOUND,
MM-155,19.0648223,72.8373113,MATCHED,"National College, Swami Vivekanand Road, Linking Road Shopping area, Khar, Bandra West, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400050, India"
MM-156,19.1320841,72.923492,MATCHED,"Naval Civillian Housing Colony, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-157,19.0335938,73.018164,MATCHED,"Nerul, Mata Amritanandamayi Marg, Nerul Village, Nerul West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400706, India"
MM-158,,,NOT_FOUND,
MM-159,19.0833305,72.9115042,MATCHED,"Pant Nagar, Ghatkopar East, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400075, India"
MM-160,19.0862777,72.8892153,MATCHED,"Phoenix Marketcity Kurla, Lal Bahadur Shastri Marg, Sunder Baug, Asalpha, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400070, India"
MM-161,,,NOT_FOUND,
MM-162,,,NOT_FOUND,
MM-163,,,NOT_FOUND,
MM-164,19.1277203,72.9062142,MATCHED,"Powai Lake, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
MM-165,19.1092295,72.8396305,MATCHED,"Prem Nagar, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
MM-166,19.1040963,72.8362766,MATCHED,"Purna Urmi, N. S. Road No. 2, Vile Parle West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, 400056, India"
MM-167,,,NOT_FOUND,
MM-168,,,NOT_FOUND,
MM-169,18.9775506,72.8441011,MATCHED,"Reay Road, Barrister Nath Pai Marg, Anjeer Wadi, Darukhana, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400027, India"
