facility_id,name,service_type,source_ward,gis_ward,latitude,longitude,coordinate_status,name_status
HC_00219,Naigaon Maternity Home,maternity_hospital,FS,FS,19.01,72.85,shared_coordinate,unique_name
HC_00220,Raoli Camp Maternity Home,maternity_hospital,FN,FN,19.04,72.87,shared_coordinate,unique_name
HC_00221,"Haji Mohammad Haji Sabu Siddik Maternity Home, Prabhadevi",maternity_hospital,GS,GS,19.02,72.83,shared_coordinate,unique_name
HC_00222,Mahim Maternity Home,maternity_hospital,GN,GN,19.0328,72.8402,shared_coordinate,unique_name
HC_00223,"Bal Gangadhar Kher Maternity Home, Kherwadi",maternity_hospital,HE,HE,19.06,72.85,shared_coordinate,unique_name
HC_00224,Dr. V.N. Shirodkar Maternity Home,maternity_hospital,KE,KE,19.11,72.85,shared_coordinate,unique_name
HC_00225,Squatters Colony Maternity Home,maternity_hospital,KE,KE,19.14,72.86,shared_coordinate,unique_name
HC_00226,"Mata Ramabai Ambedkar Maternity Home, Marol (Marol Maternity Home)",maternity_hospital,KE,MW,19.05,72.89,shared_coordinate,unique_name
HC_00227,Oshiwara Maternity Home,maternity_hospital,KW,PS,19.15,72.85,shared_coordinate,unique_name
HC_00228,Topiwala Maternity Home Goregaon,maternity_hospital,PS,PS,19.16,72.84,shared_coordinate,unique_name
HC_00229,Choksy Maternity Home,maternity_hospital,PN,PN,19.19,72.84,shared_coordinate,unique_name
HC_00230,Maulana Abul Kalam Azhad Malvani Maternity Home,maternity_hospital,PN,PN,19.19,72.82,shared_coordinate,unique_name
HC_00231,"Savitribai Phule Mata Bal Hospital, Riddhi Garden",maternity_hospital,PN,PN,19.18,72.87,shared_coordinate,unique_name
HC_00232,Akurli Maternity Home,maternity_hospital,RS,RS,19.2,72.85,shared_coordinate,unique_name
HC_00233,Charkop Maternity Home,maternity_hospital,RC,RC,19.22,72.83,shared_coordinate,unique_name
HC_00234,"Smt.Kesarbai Chhabildas Lallubhai Bhansali Maternity Home, Borivali",maternity_hospital,RC,RC,19.23,72.86,shared_coordinate,unique_name
HC_00235,"Mother and Child Hospital, Magthane",maternity_hospital,RC,RC,19.22,72.87,shared_coordinate,unique_name
HC_00236,"Maasaheb Meenatai Thackeray Maternity Home, Chunabhatti",maternity_hospital,L,KE,19.1315,72.8846,shared_coordinate,unique_name
HC_00237,Dr. Anandibai Joshi Maternity Home,maternity_hospital,L,L,19.08,72.88,shared_coordinate,unique_name
HC_00238,Shahaji Nagar Maternity Home Cheeta Camp,maternity_hospital,ME,ME,19.04,72.95,shared_coordinate,unique_name
HC_00239,"Matoshri Ramabai Ambedkar Maternity Home, Chembur Naka",maternity_hospital,MW,MW,19.05,72.89,shared_coordinate,unique_name
HC_00240,Matoshri Ramabai Thackeray Maternity Home Ghatkopar,maternity_hospital,N,MW,19.05,72.89,shared_coordinate,unique_name
HC_00241,"Dr.Babasaheb Ambedkar Maternity Home, Tagore Nagar",maternity_hospital,S,S,19.12,72.94,shared_coordinate,unique_name
HC_00242,"Savitribai Jyotiba Phule Maternity Home, Bhandup",maternity_hospital,S,S,19.15,72.93,shared_coordinate,unique_name
HC_00243,Lal Bahadur Shastri Marg Mat. Home,maternity_hospital,S,S,19.15,72.93,shared_coordinate,unique_name
HC_00244,Smt.Shyamkunwarbai Jatashankar Dosa Chanchani Mulund Maternity Home,maternity_hospital,T,T,19.18,72.95,shared_coordinate,unique_name
HC_00248,Maruti Lane UPHC,uphc,A,A,18.94,72.83,shared_coordinate,unique_name
HC_00249,Colaba UPHC,uphc,A,A,18.92,72.83,shared_coordinate,unique_name
HC_00250,Panjrapole UPHC,uphc,C,C,18.96,72.83,shared_coordinate,unique_name
HC_00251,Chandanwadi UPHC,uphc,C,C,18.9463,72.8265,shared_coordinate,unique_name
HC_00252,Suryakant Vagal Maternity Home UPHC,uphc,C,C,18.95,72.82,shared_coordinate,unique_name
HC_00253,Bane Compound UPHC,uphc,D,D,18.9717,72.8183,shared_coordinate,unique_name
HC_00254,R S Nimkar UPHC,uphc,D,E,18.97,72.82,shared_coordinate,unique_name
HC_00255,Gaurabai UPHC,uphc,E,E,18.97,72.83,shared_coordinate,unique_name
HC_00256,Tadwadi UPHC,uphc,E,E,18.9687,72.8399,shared_coordinate,unique_name
HC_00257,Souter Street UPHC,uphc,E,E,18.97,72.83,shared_coordinate,unique_name
HC_00259,Naigaon MH UPHC,uphc,FS,FS,19.01,72.85,shared_coordinate,unique_name
HC_00260,Family Welfare UPHC,uphc,FS,FS,19.01,72.84,shared_coordinate,unique_name
HC_00261,Abhyuday Nagar UPHC,uphc,FS,FS,18.99,72.85,shared_coordinate,unique_name
HC_00262,Kidwai Nagar UPHC,uphc,FS,FS,19.01,72.85,shared_coordinate,unique_name
HC_00263,New Transit Camp UPHC,uphc,FN,FN,19.03,72.86,shared_coordinate,unique_name
HC_00264,Wadala UPHC,uphc,FN,FN,19.02,72.86,shared_coordinate,unique_name
HC_00265,Raoli Camp MH UPHC,uphc,FN,FN,19.04,72.87,shared_coordinate,unique_name
HC_00266,Korba Mithagar UPHC,uphc,FN,FN,19.02,72.86,shared_coordinate,unique_name
HC_00267,Antop Hill UPHC,uphc,FN,FN,19.03,72.87,shared_coordinate,unique_name
HC_00268,Pratiksha NagarUPHC,uphc,FN,FN,19.04,72.87,shared_coordinate,unique_name
HC_00269,LBS Marg UPHC,uphc,FN,GN,19.03,72.85,shared_coordinate,unique_name
HC_00270,BDD Chawl UPHC,uphc,GS,GS,19.0,72.82,shared_coordinate,unique_name
HC_00271,Haji Mohhamad Haji Saboo Siddiqui Prabhadevi Maternity Home UPHC,uphc,GS,GS,19.02,72.83,shared_coordinate,unique_name
HC_00272,Jijamata Nagar UPHC,uphc,GS,GS,18.99,72.82,shared_coordinate,unique_name
