pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
1694508,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","S - Ward No. 119",,,,6,3,5,10,5,400083,2,1,3,0,2,19,10,4,0,2,0,1,9,9,0,1,0,0,0,0,0,0
2804283,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","K/West - Ward No. 66",,,,6,3,5,10,5,400058,2,2,3,0,1,19,10,4,0,2,0,1,9,9,230,1,0,0,0,0,0,0
5084457,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/South - Ward No. 56",,,,6,3,5,10,5,400104,2,1,3,0,2,19,10,4,0,2,0,1,9,9,0,1,0,0,0,0,0,0
2735991,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","C - Ward No. 222",,,,8,3,9,10,4,400002,2,2,3,0,2,10,0,0,0,2,0,1,9,0,0,1,0,0,0,0,0,0
5301017,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","E - Ward No. 211",,,,6,3,5,10,5,400008,2,2,3,0,1,19,0,0,0,2,0,1,9,9,210,1,0,0,0,0,0,0
2485194,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","K/West - Ward No. 59",,,,6,3,5,10,4,400061,2,2,3,0,1,18,0,0,0,2,0,1,9,2,0,1,0,0,0,0,0,0
4481232,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/South - Ward No. 56",,,,6,3,5,10,5,400102,2,2,3,0,1,19,10,4,0,2,0,1,9,9,0,1,0,0,0,0,0,0
1232739,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC5 ( ANDHERI )",2,"Greater Mumbai_Municipal Corporations","K/East - Ward No. 72",,,,6,3,5,10,4,400059,2,1,3,0,2,10,0,0,0,2,0,1,9,2,230,1,0,0,0,0,0,0
6691996,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC7 ( KANDIVALI (E) )",2,"Greater Mumbai_Municipal Corporations","R/North - Ward No. 4",,,,6,3,5,10,5,400068,2,2,3,0,1,19,0,0,0,2,0,1,9,9,220,2,0,0,0,0,0,0
4847799,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","T - Ward No. 107",,,,7,3,8,10,4,400080,2,1,3,0,2,10,0,0,0,2,0,1,9,0,235,1,0,0,0,0,0,0
5446274,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC1 ( GRANT ROAD )",2,"Greater Mumbai_Municipal Corporations","D - Ward No. 216",,,,6,3,5,10,5,400007,2,1,1,3,2,19,0,0,0,2,0,1,9,9,230,1,0,0,0,0,0,0
7530233,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC4 ( MULUND )",2,"Greater Mumbai_Municipal Corporations","L - Ward No. 164",,,,7,3,8,10,5,400070,2,2,3,0,1,19,10,4,0,2,0,1,9,9,222,1,0,0,0,0,0,0
8631314,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/South - Ward No. 50",,,,6,3,5,10,5,400064,2,1,3,0,2,19,0,0,0,2,0,1,9,9,220,2,0,0,0,0,0,0
4393812,"MAHARASHTRA","MUMBAI II","MUMBAI_DYD_URC6 ( MALAD (W) )",2,"Greater Mumbai_Municipal Corporations","P/North - Ward No. 33",,,,6,3,5,10,5,400095,2,2,3,0,2,19,0,0,0,2,0,1,9,9,0,1,0,0,0,0,0,0
