pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
4561491,1,0,2,1,0,23,20,0,0,1,5,5,6,6,1,1,1,1,6,7,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,2,0,55,0,0,0,30,1,5,1,2,3
6064085,1,0,2,7,0,6,41,0,0,1,6,6,7,7,1,1,1,1,6,8,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,2,4,4,2,4,4,4,1,1,0,250,25,0,0,0,1,1,3,1,2,2
2207673,1,0,1,1,0,8,5,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,0,4,3,2,1,2,3
4273766,2,0,1,1,0,7,28,0,0,1,6,4,6,4,1,1,1,1,6,9,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,26,0,1,1,1,3,3,1,2,3
8983550,1,0,1,1,0,7,14,0,0,1,5,5,6,6,1,1,3,3,7,0,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,29,0,0,1,0,1,2,1,2,3
4342061,1,0,1,1,0,24,12,0,0,1,8,8,8,8,1,1,0,0,8,8,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,3,1,9,2,0,25,0,10,1,3,1,2,1,2,2
5421240,1,0,1,1,0,12,8,0,0,1,11,11,7,7,2,2,2,2,11,7,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,9,2,1,1,1,3,3,3,3,3,3,3,3,3,1,2,5,2,23,500,1,1,3,8,4,1,2,3
3209203,1,0,1,1,0,40,44,0,0,1,8,8,8,8,1,1,1,1,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,0,70,0,2,1,1,5,8,1,2,3
9588511,3,0,1,1,0,17,38,0,0,1,14,14,20,20,1,1,1,1,30,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,1,1,1,1,1,4,4,4,1,1,2,40,27,162,0,30,0,1,30,5,1,1,1
1565655,1,0,1,1,0,7,6,0,0,1,5,5,5,5,1,1,1,1,10,10,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,30,0,0,3,0,12,4,1,2,2
4789615,2,0,1,1,0,8,24,0,0,1,35,35,39,39,1,1,1,1,25,29,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,30,400,24,3,23,24,4,1,2,3
4021759,2,0,1,1,0,4,0,6,0,1,1,1,1,1,0,0,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,2,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,13,0,0,0,2,0,1,1,2,3
