pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn
2485822,13,0,13,0,13,0,0,0,13,0,0,1,8,4,5,0,3,0,4,0,6,0,0,0,11,1,0,11,0,0,0,0,0,1,0,0,3
2486616,6,3,3,0,3,0,1,2,6,0,0,0,4,2,2,1,2,0,3,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0
2497115,12,1,11,0,11,0,0,1,12,0,0,1,2,9,8,0,2,0,4,0,6,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0
2508063,13,5,8,0,8,1,1,3,13,0,0,0,0,13,12,0,0,0,8,3,0,2,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0
2514902,9,5,4,0,6,1,1,1,9,0,0,0,9,0,1,0,3,4,2,0,0,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0,1
2526617,19,5,14,0,18,1,0,0,18,0,1,0,0,19,2,0,0,0,0,19,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0
2535066,23,5,18,0,23,0,0,0,23,0,0,1,14,8,22,5,2,13,1,0,2,0,0,0,23,2,0,11,1,7,1,1,0,0,0,0,4
2537256,27,6,21,0,24,1,0,2,27,0,0,2,13,12,26,0,5,8,2,0,12,0,0,0,0,10,0,14,1,1,0,1,0,0,0,0,2
2537277,8,0,8,0,8,0,0,0,8,0,0,0,3,5,8,0,2,0,3,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0
2547945,39,16,23,0,14,11,0,14,32,7,0,1,21,17,1,2,1,6,8,15,7,0,0,0,0,5,0,31,2,0,0,0,1,0,0,0,2
2553414,8,3,5,0,8,0,0,0,1,7,0,0,0,8,7,0,0,0,0,8,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,6
